id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
220,2023-11-11 02:48:12.685437+00:00,,t,intrinsic,19B,73047292143285543,648518346480453633,[ 30544 135288    434]
221,2023-11-11 02:48:12.686057+00:00,,t,ascending,t3_abd,73964422078481829,648518346521656825,[ 57042 205693     47]
222,2023-11-11 02:48:12.686660+00:00,,t,intrinsic,0A,73117731486260132,648518346484518659,[ 32360 137968   4045]
129,2023-11-09 21:09:14.937654+00:00,,t,ascending,8B_u,73115943974598715,648518346489915223,[32736 85808  2522]
171,2023-11-10 06:06:56.984057+00:00,,t,local,8A,72413631123611269,648518346492152850,[ 11600 125672   2872]
288,2023-11-13 05:23:56.922019+00:00,,t,ascending,9B,73893160249821618,648518346483414436,[ 53808 179696    593]
217,2023-11-11 02:48:12.683511+00:00,,t,local,12A,72977748972787921,648518346466962542,[ 27712 160680   2299]
291,2023-11-13 05:23:56.924028+00:00,,t,intrinsic,6B_u,73188237535266779,648518346489007453,[ 34368 142568   3791]
293,2023-11-13 05:23:56.925342+00:00,,t,intrinsic,6B,73258400255274264,648518346509431939,[ 36192 136384   4060]
208,2023-11-11 02:48:12.677577+00:00,,t,local,2A,73047087595722017,648518346507298632,[ 29728 129536   3500]
295,2023-11-13 05:23:56.926727+00:00,,t,ascending,17A_u,72343193123095653,648518346475803618,[  9128 122880   1838]
346,2023-11-15 06:13:58.254540+00:00,,t,intrinsic,hlx16,72272824781497759,648518346492427193,[  7680 124400   2585]
347,2023-11-15 06:13:58.255189+00:00,,t,intrinsic,6B,73258331401562518,648518346507110472,[ 35920 134640   3807]
1195,2023-11-22 05:47:37.704937+00:00,,t,intrinsic,6A,74034034908438044,648518346488141136,[ 59174 183361     54]
303,2023-11-14 07:23:32.973821+00:00,,t,local,17A,72765473636445885,648518346496006246,[ 21016 126888    642]
292,2023-11-13 05:23:56.924685+00:00,,t,intrinsic,12A,72766711594075922,648518346482502036,[ 21552 161936   2556]
305,2023-11-14 07:23:32.975357+00:00,,t,intrinsic,3B,72483656404684745,648518346493947761,[ 14068 116488   3156]
307,2023-11-14 07:23:32.976680+00:00,,t,mn,i2,73750706452265049,648518346495773547,[ 49660 128904   3775]
294,2023-11-13 05:23:56.926096+00:00,,t,ascending,17A_u,72343125141845231,648518346494720021,[ 10184 121904   3301]
1501,2024-03-12 21:37:15.246811+00:00,,t,local_intersegmental,5B,73328906371290304,648518346494946979,[ 37950 140858   3938]
304,2023-11-14 07:23:32.974557+00:00,,t,local,hlx16,72343193257318251,648518346488255262,[  8280 124008   2085]
354,2023-11-15 07:14:02.034482+00:00,,t,local_intersegmental,17A,72554367538455569,648518346501848905,[ 15368 125144    899]
355,2023-11-15 07:14:02.035140+00:00,,t,local,17A,72835705008891461,648518346487605995,[ 22608 122224    686]
356,2023-11-15 07:14:02.035798+00:00,,t,local,6B,73752629725372225,648518346496694061,[ 49376 184888   2175]
343,2023-11-15 06:13:58.252529+00:00,,t,intrinsic,t2_uk,72555467788018106,648518346481245786,[ 15072 158264   2209]
224,2023-11-12 20:34:38.873647+00:00,,t,local,19B,73047704460380604,648518346489473477,[ 30048 148392    518]
225,2023-11-12 20:34:38.874299+00:00,,t,local,19B,73469916925619841,648518346488723185,[ 41592 148368    483]
228,2023-11-12 20:34:38.876268+00:00,,t,local,19B,72766023459514656,648518346495796043,[ 21144 142768    691]
229,2023-11-12 21:06:37.733077+00:00,,t,intrinsic,t3_abd,73753453822159148,648518346496198668,[ 50512 208920   1159]
230,2023-11-12 21:06:37.733749+00:00,,t,intrinsic,8B,72624737490363059,648518346507131464,[ 18384 126512   3111]
231,2023-11-12 21:06:37.734401+00:00,,t,intrinsic,17A,72413630251314567,648518346497738855,[ 11720 124952   1243]
235,2023-11-12 21:06:37.737082+00:00,,t,intrinsic,3B,72694761630680105,648518346497762407,[ 18840 115032   1272]
236,2023-11-12 21:06:37.737694+00:00,,t,intrinsic,13B,72976581613980635,648518346511733104,[ 26888 125912   3909]
237,2023-11-12 21:06:37.738320+00:00,,t,intrinsic,17A,72343467799709877,648518346487340947,[ 10200 131304   1460]
238,2023-11-12 21:06:37.738918+00:00,,t,intrinsic,10B,73398725426659611,648518346502325587,[ 40600 124032   4008]
240,2023-11-12 21:51:33.029449+00:00,,t,intrinsic,6A,73540424718961218,648518346483650479,[ 44512 152968   3485]
241,2023-11-12 21:51:33.030215+00:00,,t,local,7B,73116218986861390,648518346501162893,[32400 93308  2819]
207,2023-11-11 02:48:12.676884+00:00,,t,local,2A_u,73116975303335109,648518346481938847,[ 31696 116376   3466]
249,2023-11-12 21:51:33.036295+00:00,,t,intrinsic,19A,72483518093604284,648518346483007141,[ 14238 112002   1527]
348,2023-11-15 06:13:58.255968+00:00,,t,ascending,t3_uk,74104541091523286,648518346484288285,[ 59983 188117     26]
269,2023-11-12 22:54:48.204304+00:00,,t,ascending,t3_uk,73894191243270028,648518346489179114,[ 54072 209344    949]
